0;'id';'notes';'macro';'version';'arch';'enabled';'update';'remove';'name';'url';'manifest';'deps';'rank';'class';'packages';'brief';'description'
1;1;'ok';'OFFICIAL';'current';'x86_64';1;1;0;'slackware64-current';'http://ftp.osuosl.org/pub/slackware/slackware64-current/';'slackware64/MANIFEST.bz2';0;30;'64cur';'PACKAGES.TXT';'Official';'Slackware 64bit Official Distribution - Current Version'
2;2;'ok';'OFFICIAL';'current';'i386';1;1;0;'slackware-current';'http://ftp.osuosl.org/pub/slackware/slackware-current/';'slackware/MANIFEST.bz2';0;30;'32cur';'PACKAGES.TXT';'Official';'Slackware 32bit Official Distribution - Current Version'
3;3;'ok';'OFFICIAL';'current';'x86_64';1;1;0;'slackware64-current-extra';'http://ftp.osuosl.org/pub/slackware/slackware64-current/';'extra/MANIFEST.bz2';0;30;'64cur';'extra/PACKAGES.TXT';'Extra';'Slackware 64bit Official Extra Packages for Current Version'
4;4;'ok';'OFFICIAL';'current';'i386';1;1;0;'slackware-current-extra';'http://ftp.osuosl.org/pub/slackware/slackware-current/';'extra/MANIFEST.bz2';0;30;'32cur';'extra/PACKAGES.TXT';'Extra';'Slackware 32bit Official Extra Packages for Current Version'
5;5;'ok';'OFFICIAL';'current';'x86_64';1;1;0;'slackware64-current-testing';'http://ftp.osuosl.org/pub/slackware/slackware64-current/';'testing/MANIFEST.bz2';0;30;'64cur';'testing/PACKAGES.TXT';'Testing';'Slackware 64bit Official Testing Packages for Current Version'
6;6;'ok';'OFFICIAL';'current';'i386';1;1;0;'slackware-current-testing';'http://ftp.osuosl.org/pub/slackware/slackware-current/';'testing/MANIFEST.bz2';0;30;'32cur';'testing/PACKAGES.TXT';'Testing';'Slackware 32bit Official Testing Packages for Current Version'
7;7;'ok';'OFFICIAL';'15.0';'x86_64';1;1;0;'slackware64-15.0';'http://ftp.osuosl.org/pub/slackware/slackware64-15.0/';'slackware64/MANIFEST.bz2';0;30;'64150';'PACKAGES.TXT';'Official';'Slackware 64bit Official Distribution - 15.0 Version'
8;8;'ok';'OFFICIAL';'15.0';'i386';1;1;0;'slackware-15.0';'http://ftp.osuosl.org/pub/slackware/slackware-15.0/';'slackware/MANIFEST.bz2';0;30;'32150';'PACKAGES.TXT';'Official';'Slackware 32bit Official Distribution - 15.0 Version'
9;9;'ok';'OFFICIAL';'15.0';'x86_64';1;1;0;'slackware64-15.0-extra';'http://ftp.osuosl.org/pub/slackware/slackware64-15.0/';'extra/MANIFEST.bz2';0;30;'64150';'extra/PACKAGES.TXT';'Extra';'Slackware 64bit Official Extra Packages for 15.0 Version'
10;10;'ok';'OFFICIAL';'15.0';'i386';1;1;0;'slackware-15.0-extra';'http://ftp.osuosl.org/pub/slackware/slackware-15.0/';'extra/MANIFEST.bz2';0;30;'32150';'extra/PACKAGES.TXT';'Extra';'Slackware 32bit Official Extra Packages for 15.0 Version'
